what,kind,bundleId,bundleVersion,description,time
stopped,bundle,org.jboss.ide.eclipse.as.classpath.core,3.1.1.Final-v20160409-0826-B118,"org.jboss.ide.eclipse.as.classpath.core",1548410053335
activated,perspective,org.eclipse.jdt.ui,,"org.eclipse.jdt.ui.JavaPerspective",1548639310653
started,bundle,org.eclipse.osgi,3.10.102.v20160118-1700,"org.eclipse.osgi",1548639310671
started,bundle,org.eclipse.equinox.simpleconfigurator,1.1.100.v20150423-1455,"org.eclipse.equinox.simpleconfigurator",1548639310675
started,bundle,com.ibm.icu,54.1.1.v201501272100,"com.ibm.icu",1548639310675
started,bundle,org.apache.felix.gogo.command,0.10.0.v201209301215,"org.apache.felix.gogo.command",1548639310677
started,bundle,org.apache.felix.gogo.runtime,0.10.0.v201209301036,"org.apache.felix.gogo.runtime",1548639310794
started,bundle,org.apache.felix.gogo.shell,0.10.0.v201212101605,"org.apache.felix.gogo.shell",1548639310796
started,bundle,org.eclipse.compare,3.5.600.v20150420-1449,"org.eclipse.compare",1548639310802
started,bundle,org.eclipse.compare.core,3.5.500.v20150505-1058,"org.eclipse.compare.core",1548639310805
started,bundle,org.eclipse.core.contenttype,3.5.0.v20150421-2214,"org.eclipse.core.contenttype",1548639310811
started,bundle,org.eclipse.core.databinding.observable,1.5.0.v20150422-0725,"org.eclipse.core.databinding.observable",1548639310966
started,bundle,org.eclipse.core.expressions,3.5.0.v20150421-2214,"org.eclipse.core.expressions",1548639311017
started,bundle,org.eclipse.core.filebuffers,3.5.500.v20140723-1040,"org.eclipse.core.filebuffers",1548639311020
started,bundle,org.eclipse.core.filesystem,1.5.0.v20150725-1910,"org.eclipse.core.filesystem",1548639311367
started,bundle,org.eclipse.core.jobs,3.7.0.v20150330-2103,"org.eclipse.core.jobs",1548639311372
started,bundle,org.eclipse.core.net,1.2.300.v20141118-1725,"org.eclipse.core.net",1548639311377
started,bundle,org.eclipse.core.resources,3.10.1.v20150725-1910,"org.eclipse.core.resources",1548639311444
started,bundle,org.eclipse.core.runtime,3.11.1.v20150903-1804,"org.eclipse.core.runtime",1548639311448
started,bundle,org.eclipse.core.runtime.compatibility,3.2.300.v20150423-0821,"org.eclipse.core.runtime.compatibility",1548639311488
started,bundle,org.eclipse.debug.core,3.10.0.v20150303-1130,"org.eclipse.debug.core",1548639311490
started,bundle,org.eclipse.e4.core.commands,0.11.0.v20150422-0725,"org.eclipse.e4.core.commands",1548639311558
started,bundle,org.eclipse.e4.core.contexts,1.4.0.v20150828-0818,"org.eclipse.e4.core.contexts",1548639311598
started,bundle,org.eclipse.e4.core.di,1.5.0.v20150421-2214,"org.eclipse.e4.core.di",1548639311667
started,bundle,org.eclipse.e4.core.di.extensions,0.13.0.v20150421-2214,"org.eclipse.e4.core.di.extensions",1548639311670
started,bundle,org.eclipse.e4.core.services,2.0.0.v20150403-1912,"org.eclipse.e4.core.services",1548639311693
started,bundle,org.eclipse.e4.ui.bindings,0.11.0.v20150422-0725,"org.eclipse.e4.ui.bindings",1548639311697
started,bundle,org.eclipse.e4.ui.css.swt,0.12.0.v20150511-1003,"org.eclipse.e4.ui.css.swt",1548639311734
started,bundle,org.eclipse.e4.ui.css.swt.theme,0.10.0.v20150422-0725,"org.eclipse.e4.ui.css.swt.theme",1548639311808
started,bundle,org.eclipse.e4.ui.di,1.1.0.v20150422-0725,"org.eclipse.e4.ui.di",1548639311833
started,bundle,org.eclipse.e4.ui.model.workbench,1.1.100.v20150407-1430,"org.eclipse.e4.ui.model.workbench",1548639311859
started,bundle,org.eclipse.e4.ui.services,1.2.0.v20150422-0725,"org.eclipse.e4.ui.services",1548639311886
started,bundle,org.eclipse.e4.ui.workbench.addons.swt,1.2.0.v20150512-1414,"org.eclipse.e4.ui.workbench.addons.swt",1548639311920
started,bundle,org.eclipse.e4.ui.workbench.renderers.swt,0.13.0.v20150901-1347,"org.eclipse.e4.ui.workbench.renderers.swt",1548639311986
started,bundle,org.eclipse.e4.ui.workbench.swt,0.13.0.v20150504-0621,"org.eclipse.e4.ui.workbench.swt",1548639311989
started,bundle,org.eclipse.equinox.app,1.3.300.v20150423-1356,"org.eclipse.equinox.app",1548639311993
started,bundle,org.eclipse.equinox.common,3.7.0.v20150402-1709,"org.eclipse.equinox.common",1548639311993
started,bundle,org.eclipse.equinox.console,1.1.100.v20141023-1406,"org.eclipse.equinox.console",1548639312047
started,bundle,org.eclipse.equinox.ds,1.4.300.v20150423-1356,"org.eclipse.equinox.ds",1548639312100
started,bundle,org.eclipse.equinox.event,1.3.100.v20140115-1647,"org.eclipse.equinox.event",1548639312186
started,bundle,org.eclipse.equinox.p2.artifact.repository,1.1.400.v20150513-2116,"org.eclipse.equinox.p2.artifact.repository",1548639312190
started,bundle,org.eclipse.equinox.p2.core,2.4.0.v20150527-1706,"org.eclipse.equinox.p2.core",1548639312194
started,bundle,org.eclipse.equinox.p2.directorywatcher,1.1.100.v20150423-1455,"org.eclipse.equinox.p2.directorywatcher",1548639312256
started,bundle,org.eclipse.equinox.p2.engine,2.4.0.v20150511-1532,"org.eclipse.equinox.p2.engine",1548639312260
started,bundle,org.eclipse.equinox.p2.metadata,2.3.0.v20150511-1532,"org.eclipse.equinox.p2.metadata",1548639312263
started,bundle,org.eclipse.equinox.p2.metadata.repository,1.2.200.v20150428-1613,"org.eclipse.equinox.p2.metadata.repository",1548639312267
started,bundle,org.eclipse.equinox.p2.operations,2.4.100.v20150423-1455,"org.eclipse.equinox.p2.operations",1548639312270
started,bundle,org.eclipse.equinox.p2.publisher,1.4.0.v20141117-0929,"org.eclipse.equinox.p2.publisher",1548639312334
started,bundle,org.eclipse.equinox.p2.reconciler.dropins,1.1.300.v20150423-1455,"org.eclipse.equinox.p2.reconciler.dropins",1548639312440
started,bundle,org.eclipse.equinox.p2.repository,2.3.100.v20150428-1613,"org.eclipse.equinox.p2.repository",1548639312444
started,bundle,org.eclipse.equinox.p2.transport.ecf,1.1.100.v20150521-1342,"org.eclipse.equinox.p2.transport.ecf",1548639312500
started,bundle,org.eclipse.equinox.p2.ui,2.4.0.v20150425-0422,"org.eclipse.equinox.p2.ui",1548639312504
started,bundle,org.eclipse.equinox.p2.ui.sdk.scheduler,1.2.100.v20150423-1455,"org.eclipse.equinox.p2.ui.sdk.scheduler",1548639312508
started,bundle,org.eclipse.equinox.p2.updatechecker,1.1.200.v20131119-0908,"org.eclipse.equinox.p2.updatechecker",1548639312542
started,bundle,org.eclipse.equinox.preferences,3.5.300.v20150408-1437,"org.eclipse.equinox.preferences",1548639312589
started,bundle,org.eclipse.equinox.registry,3.6.0.v20150318-1503,"org.eclipse.equinox.registry",1548639312720
started,bundle,org.eclipse.equinox.security,1.2.100.v20150423-1356,"org.eclipse.equinox.security",1548639312812
started,bundle,org.eclipse.equinox.util,1.0.500.v20130404-1337,"org.eclipse.equinox.util",1548639312815
started,bundle,org.eclipse.help,3.6.0.v20130326-1254,"org.eclipse.help",1548639312860
started,bundle,org.eclipse.jdt.core.manipulation,1.5.100.v20141002-1241,"org.eclipse.jdt.core.manipulation",1548639312939
started,bundle,org.eclipse.jdt.junit,3.8.0.v20150428-1340,"org.eclipse.jdt.junit",1548639312943
started,bundle,org.eclipse.jdt.launching,3.8.0.v20150527-0946,"org.eclipse.jdt.launching",1548639312949
started,bundle,org.eclipse.jsch.core,1.2.0.v20141202-1415,"org.eclipse.jsch.core",1548639312999
started,bundle,org.eclipse.jst.common.project.facet.core,1.4.400.v201403261418,"org.eclipse.jst.common.project.facet.core",1548639313001
started,bundle,org.eclipse.jst.ws.jaxrs.core,1.0.600.v201505131719,"org.eclipse.jst.ws.jaxrs.core",1548639313003
started,bundle,org.eclipse.ltk.core.refactoring,3.6.201.v20150819-1034,"org.eclipse.ltk.core.refactoring",1548639313068
started,bundle,org.eclipse.ltk.ui.refactoring,3.7.200.v20140625-1835,"org.eclipse.ltk.ui.refactoring",1548639313072
started,bundle,org.eclipse.m2e.core,1.6.2.20150902-0002,"org.eclipse.m2e.core",1548639313072
started,bundle,org.eclipse.m2e.jdt,1.6.2.20150902-0002,"org.eclipse.m2e.jdt",1548639313079
started,bundle,org.eclipse.m2e.logback.configuration,1.6.2.20150902-0002,"org.eclipse.m2e.logback.configuration",1548639313135
started,bundle,org.eclipse.pde.api.tools,1.0.701.v20150831-1041,"org.eclipse.pde.api.tools",1548639313189
started,bundle,org.eclipse.pde.api.tools.ui,1.0.600.v20150831-0659,"org.eclipse.pde.api.tools.ui",1548639313196
started,bundle,org.eclipse.rse.connectorservice.local,2.1.400.201403100950,"org.eclipse.rse.connectorservice.local",1548639313198
started,bundle,org.eclipse.rse.core,3.3.100.201407181907,"org.eclipse.rse.core",1548639313200
started,bundle,org.eclipse.rse.files.ui,3.2.200.201502052140,"org.eclipse.rse.files.ui",1548639313203
started,bundle,org.eclipse.rse.services,3.3.0.201403100950,"org.eclipse.rse.services",1548639313206
started,bundle,org.eclipse.rse.services.local,2.2.0.201502030655,"org.eclipse.rse.services.local",1548639313208
started,bundle,org.eclipse.rse.subsystems.files.core,3.3.1.201403100950,"org.eclipse.rse.subsystems.files.core",1548639313211
started,bundle,org.eclipse.rse.subsystems.files.local,2.1.300.201403251512,"org.eclipse.rse.subsystems.files.local",1548639313213
started,bundle,org.eclipse.rse.subsystems.shells.core,3.1.300.201403271554,"org.eclipse.rse.subsystems.shells.core",1548639313215
started,bundle,org.eclipse.rse.subsystems.shells.local,2.1.400.201403100950,"org.eclipse.rse.subsystems.shells.local",1548639313218
started,bundle,org.eclipse.rse.ui,3.3.100.201503112018,"org.eclipse.rse.ui",1548639313221
started,bundle,org.eclipse.search,3.10.0.v20150318-0856,"org.eclipse.search",1548639313225
started,bundle,org.eclipse.team.core,3.7.100.v20150203-1452,"org.eclipse.team.core",1548639313230
started,bundle,org.eclipse.team.ui,3.7.200.v20150203-1452,"org.eclipse.team.ui",1548639313233
started,bundle,org.eclipse.ui,3.107.0.v20150507-1945,"org.eclipse.ui",1548639313237
started,bundle,org.eclipse.ui.console,3.6.100.v20150822-1912,"org.eclipse.ui.console",1548639313242
started,bundle,org.eclipse.ui.editors,3.9.0.v20150213-1939,"org.eclipse.ui.editors",1548639313242
started,bundle,org.eclipse.ui.forms,3.6.200.v20150506-2029,"org.eclipse.ui.forms",1548639313371
started,bundle,org.eclipse.ui.ide,3.11.0.v20150825-2158,"org.eclipse.ui.ide",1548639313378
started,bundle,org.eclipse.ui.ide.application,1.1.0.v20150422-0725,"org.eclipse.ui.ide.application",1548639313469
started,bundle,org.eclipse.ui.monitoring,1.0.0.v20150512-1436,"org.eclipse.ui.monitoring",1548639313471
started,bundle,org.eclipse.ui.net,1.2.200.v20120807-0927,"org.eclipse.ui.net",1548639313964
started,bundle,org.eclipse.ui.trace,1.0.300.v20150220-1252,"org.eclipse.ui.trace",1548639313968
started,bundle,org.eclipse.ui.views,3.8.0.v20150422-0725,"org.eclipse.ui.views",1548639313973
started,bundle,org.eclipse.ui.views.log,1.0.600.v20150513-1840,"org.eclipse.ui.views.log",1548639313978
started,bundle,org.eclipse.ui.workbench.texteditor,3.9.100.v20141023-1946,"org.eclipse.ui.workbench.texteditor",1548639313981
started,bundle,org.eclipse.update.configurator,3.3.300.v20140518-1928,"org.eclipse.update.configurator",1548639314029
started,bundle,org.eclipse.wst.common.frameworks,1.2.200.v201304241450,"org.eclipse.wst.common.frameworks",1548639314032
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.300.v201111030423,"org.eclipse.wst.common.project.facet.core",1548639314131
started,bundle,org.eclipse.wst.web,1.1.800.v201312041437,"org.eclipse.wst.web",1548639314133
started,bundle,org.tigris.subversion.subclipse.mylyn,3.0.0,"org.tigris.subversion.subclipse.mylyn",1548639314136
started,bundle,org.tigris.subversion.subclipse.tools.usage,1.1.0,"org.tigris.subversion.subclipse.tools.usage",1548639314136
started,bundle,com.collabnet.subversion.merge,4.1.0,"com.collabnet.subversion.merge",1548639314140
started,bundle,org.eclipse.e4.ui.workbench,1.3.1.v20160203-0951,"org.eclipse.e4.ui.workbench",1548639314180
started,bundle,org.eclipse.ecf,3.7.0.v20151130-0157,"org.eclipse.ecf",1548639314233
started,bundle,org.eclipse.ecf.filetransfer,5.0.0.v20151130-0157,"org.eclipse.ecf.filetransfer",1548639314270
started,bundle,org.eclipse.ecf.identity,3.6.0.v20151130-0157,"org.eclipse.ecf.identity",1548639314274
started,bundle,org.eclipse.ecf.provider.filetransfer,3.2.200.v20151130-0157,"org.eclipse.ecf.provider.filetransfer",1548639314280
started,bundle,org.eclipse.ecf.provider.filetransfer.httpclient4,1.1.0.v20151130-0157,"org.eclipse.ecf.provider.filetransfer.httpclient4",1548639314284
started,bundle,org.eclipse.egit.core,4.1.1.201511131810-r,"org.eclipse.egit.core",1548639314285
started,bundle,org.eclipse.egit.ui,4.1.1.201511131810-r,"org.eclipse.egit.ui",1548639314289
started,bundle,org.eclipse.emf.common,2.11.1.v20160208-0816,"org.eclipse.emf.common",1548639314292
started,bundle,org.eclipse.emf.common.ui,2.10.1.v20160208-0841,"org.eclipse.emf.common.ui",1548639314294
started,bundle,org.eclipse.emf.ecore,2.11.2.v20160208-0816,"org.eclipse.emf.ecore",1548639314299
started,bundle,org.eclipse.emf.ecore.xmi,2.11.1.v20160208-0816,"org.eclipse.emf.ecore.xmi",1548639314303
started,bundle,org.eclipse.emf.edit,2.11.1.v20160208-0841,"org.eclipse.emf.edit",1548639314305
started,bundle,org.eclipse.jdt.core,3.11.2.v20160128-0629,"org.eclipse.jdt.core",1548639314312
started,bundle,org.eclipse.jdt.ui,3.11.2.v20151123-1510,"org.eclipse.jdt.ui",1548639314312
