what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.107.0.v20150507-1945,"org.eclipse.ui.edit.delete",1548661946171
executed,command,org.eclipse.ui,3.107.0.v20150507-1945,"org.eclipse.ui.edit.delete",1548661951222
deactivated,workbench,org.eclipse.ui.workbench,3.107.1.v20160120-2131,"",1548661952592
activated,workbench,org.eclipse.ui.workbench,3.107.1.v20160120-2131,"",1548661959434
executed,command,org.eclipse.ui,3.107.0.v20150507-1945,"org.eclipse.ui.file.save",1548661959443
executed,command,org.eclipse.ui,3.107.0.v20150507-1945,"org.eclipse.ui.edit.paste",1548661963400
deactivated,workbench,org.eclipse.ui.workbench,3.107.1.v20160120-2131,"",1548661965017
activated,workbench,org.eclipse.ui.workbench,3.107.1.v20160120-2131,"",1548661970115
executed,command,org.eclipse.ui,3.107.0.v20150507-1945,"org.eclipse.ui.file.save",1548661970427
activated,editor,org.eclipse.m2e.editor,1.6.2.20150902-0002,"org.eclipse.m2e.editor.MavenPomEditor",1548661971849
executed,command,org.eclipse.ui,3.107.0.v20150507-1945,"org.eclipse.ui.edit.paste",1548661978190
deactivated,workbench,org.eclipse.ui.workbench,3.107.1.v20160120-2131,"",1548661979768
activated,workbench,org.eclipse.ui.workbench,3.107.1.v20160120-2131,"",1548661981304
executed,command,org.eclipse.ui,3.107.0.v20150507-1945,"org.eclipse.ui.file.save",1548661981796
activated,editor,org.eclipse.m2e.editor,1.6.2.20150902-0002,"org.eclipse.m2e.editor.MavenPomEditor",1548661982495
executed,command,org.eclipse.ui,3.107.0.v20150507-1945,"org.eclipse.ui.edit.paste",1548661989659
deactivated,workbench,org.eclipse.ui.workbench,3.107.1.v20160120-2131,"",1548661991270
activated,workbench,org.eclipse.ui.workbench,3.107.1.v20160120-2131,"",1548661993023
executed,command,org.eclipse.ui,3.107.0.v20150507-1945,"org.eclipse.ui.file.save",1548661993544
deactivated,workbench,org.eclipse.ui.workbench,3.107.1.v20160120-2131,"",1548661996090
activated,workbench,org.eclipse.ui.workbench,3.107.1.v20160120-2131,"",1548661997972
deactivated,workbench,org.eclipse.ui.workbench,3.107.1.v20160120-2131,"",1548662000396
activated,workbench,org.eclipse.ui.workbench,3.107.1.v20160120-2131,"",1548662035080
deactivated,workbench,org.eclipse.ui.workbench,3.107.1.v20160120-2131,"",1548662035196
activated,workbench,org.eclipse.ui.workbench,3.107.1.v20160120-2131,"",1548662077850
activated,view,org.eclipse.ui.ide,3.11.0.v20150825-2158,"org.eclipse.ui.views.ProblemView",1548662081454
opened,editor,org.eclipse.jdt.ui,3.11.2.v20151123-1510,"org.eclipse.jdt.ui.CompilationUnitEditor",1548662085040
activated,editor,org.eclipse.jdt.ui,3.11.2.v20151123-1510,"org.eclipse.jdt.ui.CompilationUnitEditor",1548662085539
executed,command,org.eclipse.jdt.ui,3.11.2.v20151123-1510,"org.eclipse.jdt.ui.edit.text.java.organize.imports",1548662088041
activated,view,org.eclipse.ui.ide,3.11.0.v20150825-2158,"org.eclipse.ui.views.ProblemView",1548662096390
activated,editor,org.eclipse.jdt.ui,3.11.2.v20151123-1510,"org.eclipse.jdt.ui.CompilationUnitEditor",1548662097769
activated,view,org.eclipse.ui.ide,3.11.0.v20150825-2158,"org.eclipse.ui.views.ProblemView",1548662100040
activated,editor,org.eclipse.jdt.ui,3.11.2.v20151123-1510,"org.eclipse.jdt.ui.CompilationUnitEditor",1548662100319
activated,view,org.eclipse.ui.ide,3.11.0.v20150825-2158,"org.eclipse.ui.views.ProblemView",1548662101052
activated,editor,org.eclipse.jdt.ui,3.11.2.v20151123-1510,"org.eclipse.jdt.ui.CompilationUnitEditor",1548662101308
activated,view,org.eclipse.ui.ide,3.11.0.v20150825-2158,"org.eclipse.ui.views.ProblemView",1548662101605
activated,editor,org.eclipse.jdt.ui,3.11.2.v20151123-1510,"org.eclipse.jdt.ui.CompilationUnitEditor",1548662102309
activated,view,org.eclipse.ui.ide,3.11.0.v20150825-2158,"org.eclipse.ui.views.ProblemView",1548662109147
activated,editor,org.eclipse.jdt.ui,3.11.2.v20151123-1510,"org.eclipse.jdt.ui.CompilationUnitEditor",1548662111055
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1548662116346
deactivated,workbench,org.eclipse.ui.workbench,3.107.1.v20160120-2131,"",1548662123177
activated,workbench,org.eclipse.ui.workbench,3.107.1.v20160120-2131,"",1548662128561
activated,editor,org.eclipse.jdt.ui,3.11.2.v20151123-1510,"org.eclipse.jdt.ui.CompilationUnitEditor",1548662128589
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1548662139489
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1548662143619
activated,view,org.eclipse.ui.ide,3.11.0.v20150825-2158,"org.eclipse.ui.views.ProblemView",1548662145008
executed,command,org.eclipse.ui,3.107.0.v20150507-1945,"org.eclipse.ui.edit.copy",1548662147658
deactivated,workbench,org.eclipse.ui.workbench,3.107.1.v20160120-2131,"",1548662149725
activated,workbench,org.eclipse.ui.workbench,3.107.1.v20160120-2131,"",1548662171335
activated,view,org.eclipse.ui.console,3.6.100.v20150822-1912,"org.eclipse.ui.console.ConsoleView",1548662171347
activated,editor,org.eclipse.jdt.ui,3.11.2.v20151123-1510,"org.eclipse.jdt.ui.CompilationUnitEditor",1548662183129
executed,command,org.eclipse.ui,3.107.0.v20150507-1945,"org.eclipse.ui.file.save",1548662184518
executed,command,org.eclipse.jdt.ui,3.11.2.v20151123-1510,"org.eclipse.jdt.ui.edit.text.java.organize.imports",1548662186830
activated,view,org.eclipse.ui.navigator.resources,3.5.1.v20160128-1644,"org.eclipse.ui.navigator.ProjectExplorer",1548662193136
activated,editor,org.eclipse.m2e.editor,1.6.2.20150902-0002,"org.eclipse.m2e.editor.MavenPomEditor",1548662193884
deactivated,workbench,org.eclipse.ui.workbench,3.107.1.v20160120-2131,"",1548662228156
activated,workbench,org.eclipse.ui.workbench,3.107.1.v20160120-2131,"",1548662233843
activated,view,org.eclipse.ui.ide,3.11.0.v20150825-2158,"org.eclipse.ui.views.ProblemView",1548662238041
activated,editor,org.eclipse.jdt.ui,3.11.2.v20151123-1510,"org.eclipse.jdt.ui.CompilationUnitEditor",1548662240442
deactivated,workbench,org.eclipse.ui.workbench,3.107.1.v20160120-2131,"",1548662245533
activated,workbench,org.eclipse.ui.workbench,3.107.1.v20160120-2131,"",1548662297195
activated,view,org.eclipse.ui.console,3.6.100.v20150822-1912,"org.eclipse.ui.console.ConsoleView",1548662298040
activated,editor,org.eclipse.jdt.ui,3.11.2.v20151123-1510,"org.eclipse.jdt.ui.CompilationUnitEditor",1548662299268
activated,view,org.eclipse.ui.navigator.resources,3.5.1.v20160128-1644,"org.eclipse.ui.navigator.ProjectExplorer",1548662305003
activated,editor,org.eclipse.m2e.editor,1.6.2.20150902-0002,"org.eclipse.m2e.editor.MavenPomEditor",1548662306631
deactivated,workbench,org.eclipse.ui.workbench,3.107.1.v20160120-2131,"",1548662307397
activated,workbench,org.eclipse.ui.workbench,3.107.1.v20160120-2131,"",1548662329680
executed,command,org.eclipse.ui,3.107.0.v20150507-1945,"org.eclipse.ui.edit.undo",1548662334199
executed,command,org.eclipse.ui,3.107.0.v20150507-1945,"org.eclipse.ui.edit.copy",1548662335674
executed,command,org.eclipse.wst.sse.ui,1.3.401.v201510130005,"org.eclipse.wst.sse.ui.toggle.comment",1548662339736
executed,command,org.eclipse.ui,3.107.0.v20150507-1945,"org.eclipse.ui.edit.paste",1548662342708
executed,command,org.eclipse.ui.workbench.texteditor,3.9.100.v20141023-1946,"org.eclipse.ui.edit.text.goto.lineStart",1548662343720
executed,command,org.eclipse.ui,3.107.0.v20150507-1945,"org.eclipse.ui.file.save",1548662345223
deactivated,workbench,org.eclipse.ui.workbench,3.107.1.v20160120-2131,"",1548662362452
activated,workbench,org.eclipse.ui.workbench,3.107.1.v20160120-2131,"",1548662375318
executed,command,org.eclipse.ui,3.107.0.v20150507-1945,"org.eclipse.ui.edit.undo",1548662376201
executed,command,org.eclipse.ui,3.107.0.v20150507-1945,"org.eclipse.ui.edit.undo",1548662376657
executed,command,org.eclipse.ui,3.107.0.v20150507-1945,"org.eclipse.ui.edit.undo",1548662378973
executed,command,org.eclipse.ui,3.107.0.v20150507-1945,"org.eclipse.ui.edit.undo",1548662379478
executed,command,org.eclipse.ui,3.107.0.v20150507-1945,"org.eclipse.ui.file.save",1548662381433
deactivated,workbench,org.eclipse.ui.workbench,3.107.1.v20160120-2131,"",1548662395592
activated,workbench,org.eclipse.ui.workbench,3.107.1.v20160120-2131,"",1548662462714
activated,view,org.eclipse.ui.navigator.resources,3.5.1.v20160128-1644,"org.eclipse.ui.navigator.ProjectExplorer",1548662462739
activated,view,org.eclipse.ui.ide,3.11.0.v20150825-2158,"org.eclipse.ui.views.ProblemView",1548662464312
activated,editor,org.eclipse.jdt.ui,3.11.2.v20151123-1510,"org.eclipse.jdt.ui.CompilationUnitEditor",1548662469248
activated,view,org.eclipse.ui.ide,3.11.0.v20150825-2158,"org.eclipse.ui.views.ProblemView",1548662474472
activated,editor,org.eclipse.jdt.ui,3.11.2.v20151123-1510,"org.eclipse.jdt.ui.CompilationUnitEditor",1548662475561
activated,view,org.eclipse.ui.ide,3.11.0.v20150825-2158,"org.eclipse.ui.views.ProblemView",1548662477219
activated,editor,org.eclipse.jdt.ui,3.11.2.v20151123-1510,"org.eclipse.jdt.ui.CompilationUnitEditor",1548662477505
activated,view,org.eclipse.ui.ide,3.11.0.v20150825-2158,"org.eclipse.ui.views.ProblemView",1548662479035
activated,editor,org.eclipse.jdt.ui,3.11.2.v20151123-1510,"org.eclipse.jdt.ui.CompilationUnitEditor",1548662479259
deactivated,workbench,org.eclipse.ui.workbench,3.107.1.v20160120-2131,"",1548662482748
activated,workbench,org.eclipse.ui.workbench,3.107.1.v20160120-2131,"",1548662496718
executed,command,org.eclipse.jdt.ui,3.11.2.v20151123-1510,"org.eclipse.jdt.ui.edit.text.java.organize.imports",1548662497476
deactivated,workbench,org.eclipse.ui.workbench,3.107.1.v20160120-2131,"",1548662502852
activated,workbench,org.eclipse.ui.workbench,3.107.1.v20160120-2131,"",1548662530116
executed,command,org.eclipse.ui,3.107.0.v20150507-1945,"org.eclipse.ui.edit.paste",1548662531183
