what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.jdt.debug.ui,3.7.101.v20160203-1236,"org.eclipse.jdt.debug.ui",1548324460674
deactivated,workbench,org.eclipse.ui.workbench,3.107.1.v20160120-2131,"",1548324461489
activated,workbench,org.eclipse.ui.workbench,3.107.1.v20160120-2131,"",1548324462773
deactivated,workbench,org.eclipse.ui.workbench,3.107.1.v20160120-2131,"",1548324463758
activated,workbench,org.eclipse.ui.workbench,3.107.1.v20160120-2131,"",1548324465578
executed,command,org.eclipse.jdt.debug.ui,3.7.101.v20160203-1236,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1548324465600
started,bundle,org.eclipse.m2e.launching,1.6.2.20150902-0002,"org.eclipse.m2e.launching",1548324465968
deactivated,workbench,org.eclipse.ui.workbench,3.107.1.v20160120-2131,"",1548324467512
activated,workbench,org.eclipse.ui.workbench,3.107.1.v20160120-2131,"",1548324476742
deactivated,workbench,org.eclipse.ui.workbench,3.107.1.v20160120-2131,"",1548324485558
started,bundle,org.eclipse.equinox.p2.garbagecollector,1.0.200.v20131115-1210,"org.eclipse.equinox.p2.garbagecollector",1548324497328
activated,workbench,org.eclipse.ui.workbench,3.107.1.v20160120-2131,"",1548324515408
deactivated,workbench,org.eclipse.ui.workbench,3.107.1.v20160120-2131,"",1548324520367
activated,workbench,org.eclipse.ui.workbench,3.107.1.v20160120-2131,"",1548324547958
deactivated,workbench,org.eclipse.ui.workbench,3.107.1.v20160120-2131,"",1548324552701
activated,workbench,org.eclipse.ui.workbench,3.107.1.v20160120-2131,"",1548324554177
executed,command,org.eclipse.ui.ide,3.11.0.v20150825-2158,"org.eclipse.ui.project.cleanAction",1548324554194
deactivated,workbench,org.eclipse.ui.workbench,3.107.1.v20160120-2131,"",1548324554550
activated,workbench,org.eclipse.ui.workbench,3.107.1.v20160120-2131,"",1548324561444
activated,editor,org.eclipse.jdt.ui,3.11.2.v20151123-1510,"org.eclipse.jdt.ui.CompilationUnitEditor",1548324564664
